ORIGIN_AIRPORT,source_airport_avg_delay,destination_airport_avg_delay,airport_avg_taxi_out_time,airport_avg_taxi_in_time,total_airline_delay,total_security_delay,total_air_system_delay,total_late_aircraft_delay,total_weather_delay
10135,-11.461538461538462,-12.090909090909092,17.545454545454547,6.923076923076923,0.0,0.0,0.0,23.0,0.0
10136,2.1666666666666665,26.90909090909091,14.363636363636363,9.25,0.0,0.0,0.0,0.0,146.0
10140,7.048543689320389,6.3619047619047615,13.885714285714286,7.669902912621359,463.0,0.0,185.0,458.0,152.0
10141,1.75,-6.25,16.25,10.0,0.0,4.0,14.0,0.0,0.0
10146,-7.2,-10.8,14.4,6.4,0.0,0.0,0.0,0.0,0.0
10155,-9.166666666666666,0.6666666666666666,20.666666666666668,12.166666666666666,0.0,0.0,0.0,0.0,0.0
10157,6.222222222222222,6.25,23.875,5.111111111111111,0.0,0.0,54.0,54.0,0.0
10158,-2.9375,-4.625,11.625,8.8125,72.0,0.0,10.0,0.0,0.0
10170,10.5,-14.5,11.5,3.5,0.0,0.0,0.0,0.0,0.0
10185,20.46153846153846,30.0,14.833333333333334,9.923076923076923,0.0,0.0,52.0,252.0,2.0
10208,-4.9,-8.8,14.4,6.3,0.0,0.0,0.0,0.0,0.0
10257,-8.930232558139535,-8.21951219512195,13.439024390243903,7.4186046511627906,3.0,0.0,32.0,13.0,0.0
10268,-12.666666666666666,-13.5,14.5,17.0,0.0,0.0,0.0,0.0,0.0
10279,25.235294117647058,24.9375,17.625,10.117647058823529,24.0,0.0,377.0,76.0,0.0
10299,-2.7142857142857144,2.6486486486486487,13.702702702702704,6.441558441558442,50.0,0.0,114.0,61.0,0.0
10333,-5.0,-11.333333333333334,20.0,7.0,0.0,0.0,0.0,0.0,0.0
10372,-4.333333333333333,-2.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0
10397,-5.863145939806928,-3.45042492917847,15.51841359773371,5.936399772856332,3180.0,0.0,2248.0,1315.0,308.0
10408,-1.4545454545454546,-0.16666666666666666,21.0,11.181818181818182,0.0,0.0,32.0,0.0,0.0
10423,40.357798165137616,29.70731707317073,17.024390243902438,7.513761467889908,339.0,0.0,1178.0,2859.0,499.0
10431,-3.3125,-5.411764705882353,19.11764705882353,7.625,28.0,0.0,43.0,0.0,0.0
10434,-5.333333333333333,-1.6666666666666667,21.5,8.666666666666666,7.0,0.0,18.0,0.0,0.0
10469,-8.285714285714286,-17.285714285714285,15.285714285714286,11.857142857142858,0.0,0.0,15.0,0.0,0.0
10529,-6.228260869565218,-3.9072164948453607,15.309278350515465,8.565217391304348,84.0,0.0,216.0,69.0,0.0
10551,9.4,14.2,12.4,4.0,2.0,0.0,11.0,51.0,0.0
10561,-6.2727272727272725,-5.909090909090909,21.545454545454547,7.545454545454546,0.0,0.0,0.0,0.0,0.0
10577,-3.25,-8.666666666666666,17.666666666666668,5.0,0.0,0.0,23.0,0.0,0.0
10581,41.0,41.0,19.0,6.5,0.0,0.0,0.0,76.0,0.0
10599,8.17741935483871,12.203389830508474,16.220338983050848,7.774193548387097,160.0,0.0,68.0,524.0,215.0
10620,-12.2,-4.214285714285714,15.071428571428571,7.266666666666667,0.0,0.0,0.0,0.0,0.0
10627,-8.733333333333333,-4.375,16.8125,6.8,0.0,0.0,0.0,0.0,16.0
10631,-6.75,-8.75,17.5,4.75,0.0,0.0,0.0,0.0,0.0
10685,-9.538461538461538,-11.307692307692308,16.076923076923077,11.076923076923077,0.0,0.0,39.0,0.0,0.0
10693,3.302127659574468,0.5083333333333333,15.45,8.187234042553191,523.0,0.0,454.0,1423.0,320.0
10713,-5.301587301587301,2.676470588235294,16.764705882352942,6.888888888888889,114.0,0.0,21.0,128.0,0.0
10721,-4.424954792043399,-4.94010889292196,16.533575317604356,8.157323688969258,1124.0,8.0,515.0,870.0,96.0
10728,11.75,73.75,15.75,14.25,4.0,0.0,8.0,37.0,0.0
10731,-13.0,-3.25,18.5,6.25,0.0,0.0,0.0,0.0,0.0
10732,-10.0,-1.4444444444444444,17.0,5.0,0.0,0.0,0.0,0.0,0.0
10739,-0.6666666666666666,-13.333333333333334,16.0,3.6666666666666665,0.0,0.0,38.0,0.0,0.0
10747,-2.5,49.57142857142857,24.571428571428573,8.833333333333334,0.0,0.0,0.0,46.0,12.0
10754,-8.5,-0.8333333333333334,11.333333333333334,4.5,0.0,0.0,0.0,0.0,0.0
10779,-18.75,3.5,17.25,6.0,0.0,0.0,0.0,0.0,0.0
10781,33.75,17.17142857142857,19.142857142857142,11.5,96.0,0.0,369.0,323.0,516.0
10785,-5.722222222222222,-3.9444444444444446,22.0,9.5,0.0,0.0,0.0,0.0,0.0
10792,-6.244897959183674,-8.5,16.055555555555557,8.387755102040817,129.0,0.0,69.0,30.0,0.0
10800,-2.9473684210526314,-0.7096774193548387,12.806451612903226,5.842105263157895,12.0,0.0,119.0,84.0,24.0
10821,1.14,-6.301098901098901,12.613186813186813,6.597777777777778,1486.0,0.0,823.0,549.0,0.0
10849,-13.421052631578947,-10.6,16.0,7.421052631578948,0.0,0.0,0.0,0.0,0.0
10868,8.045454545454545,0.18181818181818182,24.863636363636363,10.954545454545455,277.0,0.0,14.0,0.0,0.0
10874,-9.733333333333333,-2.0,17.275862068965516,7.766666666666667,0.0,0.0,0.0,0.0,0.0
10918,-3.0,-1.3333333333333333,15.666666666666666,5.0,0.0,0.0,17.0,0.0,0.0
10926,20.5,29.0,13.5,5.0,0.0,0.0,0.0,137.0,0.0
10980,-3.0476190476190474,-7.285714285714286,16.476190476190474,7.619047619047619,0.0,0.0,26.0,0.0,0.0
10990,-2.230769230769231,-10.416666666666666,16.583333333333332,11.846153846153847,13.0,0.0,23.0,26.0,0.0
10994,2.3098591549295775,5.202898550724638,16.884057971014492,8.253521126760564,9.0,0.0,118.0,460.0,100.0
11003,-1.7777777777777777,0.7142857142857143,17.464285714285715,9.814814814814815,103.0,0.0,0.0,60.0,0.0
11013,2.3333333333333335,-5.0,20.333333333333332,8.0,0.0,0.0,0.0,0.0,0.0
11042,-0.06043956043956044,4.478260869565218,16.53804347826087,8.813186813186814,317.0,0.0,906.0,299.0,0.0
11049,20.181818181818183,25.636363636363637,15.636363636363637,12.727272727272727,43.0,0.0,10.0,277.0,0.0
11057,-1.575139146567718,-5.467680608365019,16.93916349809886,7.0686456400742115,540.0,0.0,1015.0,352.0,0.0
11066,4.2105263157894735,-4.834782608695652,15.904347826086957,8.289473684210526,874.0,0.0,278.0,174.0,141.0
11067,-2.909090909090909,-2.8181818181818183,18.363636363636363,12.272727272727273,0.0,0.0,72.0,9.0,0.0
11076,-6.0,-13.0,16.75,14.25,0.0,0.0,0.0,15.0,0.0
11097,18.0,17.0,22.0,5.0,1.0,0.0,0.0,17.0,0.0
11109,11.333333333333334,15.393939393939394,22.545454545454547,9.333333333333334,189.0,0.0,214.0,171.0,0.0
11111,-6.125,3.0,18.875,11.75,0.0,0.0,21.0,0.0,17.0
11122,-16.571428571428573,-6.875,19.0,7.857142857142857,0.0,0.0,0.0,0.0,0.0
11140,42.94736842105263,29.6,14.95,9.263157894736842,55.0,0.0,284.0,298.0,258.0
11146,-2.3,-6.6,16.9,8.4,0.0,0.0,37.0,3.0,0.0
11150,-2.1666666666666665,1.5,15.666666666666666,7.666666666666667,1.0,0.0,17.0,0.0,0.0
11193,0.425531914893617,0.45555555555555555,20.044444444444444,9.76595744680851,60.0,0.0,238.0,150.0,0.0
11203,14.625,15.714285714285714,19.571428571428573,10.5,0.0,0.0,11.0,178.0,0.0
11252,-5.285714285714286,-6.571428571428571,12.571428571428571,11.142857142857142,0.0,0.0,0.0,0.0,0.0
11259,20.426751592356688,15.346153846153847,12.224358974358974,5.885350318471337,2119.0,0.0,757.0,3840.0,756.0
11267,-3.289473684210526,-6.825,17.775,8.473684210526315,33.0,0.0,15.0,166.0,0.0
11274,-14.5,-11.5,17.25,14.0,0.0,0.0,0.0,0.0,0.0
11278,-1.2133333333333334,-3.010869565217391,15.940217391304348,7.826666666666667,780.0,19.0,869.0,781.0,0.0
11292,-0.8522613065326633,0.2597402597402597,14.345654345654346,7.053266331658292,3659.0,0.0,1865.0,2165.0,92.0
11298,16.892982456140352,18.732988802756246,14.72609819121447,6.689473684210526,6087.0,0.0,3969.0,10879.0,5700.0
11308,-8.571428571428571,-9.666666666666666,15.0,8.714285714285714,0.0,0.0,0.0,0.0,0.0
11315,-11.25,-6.0,22.5,4.0,0.0,0.0,0.0,0.0,0.0
11337,-5.75,-2.4166666666666665,21.5,8.666666666666666,0.0,0.0,0.0,0.0,0.0
11413,10.571428571428571,-0.375,18.125,11.857142857142858,100.0,0.0,13.0,0.0,0.0
11423,-4.068181818181818,-3.4523809523809526,16.11904761904762,11.727272727272727,0.0,0.0,98.0,0.0,94.0
11433,4.024,-1.6926229508196722,15.96311475409836,6.604,3960.0,0.0,1002.0,429.0,14.0
11447,-11.333333333333334,-16.0,11.5,5.0,0.0,0.0,0.0,0.0,0.0
11471,-13.5,-15.25,20.25,14.0,0.0,0.0,0.0,0.0,0.0
11481,8.166666666666666,4.409090909090909,18.045454545454547,8.25,37.0,0.0,29.0,134.0,183.0
